time(days),prey(ind/m3),predator(ind/m3)
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+01
1.000200040008001612e-01,5.143848840076542928e+01,9.802950375175356612e+00
2.000400080016003224e-01,5.286966624220566757e+01,9.612542698585523127e+00
3.000600120024005113e-01,5.429067561038972656e+01,9.428523197696728531e+00
4.000800160032006447e-01,5.569874836943173335e+01,9.250644181444387826e+00
5.001000200040007782e-01,5.709123097350257581e+01,9.078664167738134338e+00
6.001200240048010226e-01,5.846556602105059142e+01,8.912347752728802419e+00
7.001400280056011560e-01,5.981936047466130901e+01,8.751466048563132816e+00
8.001600320064012895e-01,6.115039985293573466e+01,8.595796771880067411e+00
9.001800360072014229e-01,6.245664823049035164e+01,8.445124243810754550e+00
1.000200040008001556e+00,6.373624823795713468e+01,8.299239389978538384e+00
1.100220044008801690e+00,6.498752106198352863e+01,8.157939740498971304e+00
1.200240048009602045e+00,6.620896725442398179e+01,8.021029402475926773e+00
1.300260052010402179e+00,6.739930298587660218e+01,7.888319008947795474e+00
1.400280056011202312e+00,6.855746955255399655e+01,7.759626868111793918e+00
1.500300060012002445e+00,6.968258850705632312e+01,7.634778026163417941e+00
1.600320064012802579e+00,7.077395921210299434e+01,7.513603981674382482e+00
1.700340068013602712e+00,7.183105884053277634e+01,7.395942685592627797e+00
1.800360072014402846e+00,7.285354237530371790e+01,7.281638541242319462e+00
1.900380076015202979e+00,7.384124260949320728e+01,7.170542404323843044e+00
2.000400080016003113e+00,7.479416686773271294e+01,7.062511548574378573e+00
2.100420084016803468e+00,7.571244277602136208e+01,6.957409600684093753e+00
2.200440088017603379e+00,7.659634116043083907e+01,6.855107290880085635e+00
2.300460092018403735e+00,7.744624450649878611e+01,6.755481050780735686e+00
2.400480096019204090e+00,7.826263212208010600e+01,6.658412714147845080e+00
2.500500100020004002e+00,7.904608013734689109e+01,6.563789516886636477e+00
2.600520104020804357e+00,7.979726150478852276e+01,6.471504097045746917e+00
2.700540108021604269e+00,8.051694466254255644e+01,6.381454472386301369e+00
2.800560112022404624e+00,8.120594135732947905e+01,6.293543757246580661e+00
2.900580116023204535e+00,8.186510356002536071e+01,6.207680990691056166e+00
3.000600120024004891e+00,8.249532274236821650e+01,6.123779717676606893e+00
3.100620124024804802e+00,8.309751737157831997e+01,6.041757529749583355e+00
3.200640128025605158e+00,8.367263291035820316e+01,5.961536065045811128e+00
3.300660132026405513e+00,8.422164181689265661e+01,5.883041008290591733e+00
3.400680136027205425e+00,8.474554325190875659e+01,5.806202085914720534e+00
3.500700140028005780e+00,8.524532649598245371e+01,5.730952883967788125e+00
3.600720144028805692e+00,8.572195408695556296e+01,5.657231251832294028e+00
3.700740148029606047e+00,8.617638470174378540e+01,5.584978278135135810e+00
3.800760152030405958e+00,8.660956636144716470e+01,5.514137884808972601e+00
3.900780156031206314e+00,8.702243643135000184e+01,5.444656827092220652e+00
4.000800160032006225e+00,8.741592162092088358e+01,5.376484693529059555e+00
4.100820164032806581e+00,8.779093691450725601e+01,5.309573882055022231e+00
4.200840168033606936e+00,8.814835760765240025e+01,5.243879486149077174e+00
4.300860172034407292e+00,8.848901732715400215e+01,5.179359519558889957e+00
4.400880176035206759e+00,8.881372712350422205e+01,5.115974056903633382e+00
4.500900180036007114e+00,8.912327494253753457e+01,5.053685072293849778e+00
4.600920184036807470e+00,8.941842562543072859e+01,4.992456439331453666e+00
4.700940188037607825e+00,8.969992090870286461e+01,4.932253931109727318e+00
4.800960192038408181e+00,8.996847786109798051e+01,4.873045177374244474e+00
4.900980196039207648e+00,9.022476771018507691e+01,4.814799646124950705e+00
5.001000200040008004e+00,9.046942214497968848e+01,4.757488698099504809e+00
5.101020204040808359e+00,9.070304968218420072e+01,4.701084975128079435e+00
5.201040208041608714e+00,9.092623599083762542e+01,4.645562347139175152e+00
5.301060212042408182e+00,9.113954389231554387e+01,4.590895912159620451e+00
5.401080216043208537e+00,9.134351336033016366e+01,4.537061996314573520e+00
5.501100220044008893e+00,9.153866086064900287e+01,4.484038125050682666e+00
5.601120224044809248e+00,9.172546499989189783e+01,4.431803007753113199e+00
5.701140228045609604e+00,9.190436930603551957e+01,4.380336615695492597e+00
5.801160232046409071e+00,9.207579879196686079e+01,4.329619735194028429e+00
5.901180236047209426e+00,9.224016069367208104e+01,4.279633923567779163e+00
6.001200240048009782e+00,9.239784447023650671e+01,4.230361509138657716e+00
6.101220244048810137e+00,9.254922180384463104e+01,4.181785591231427901e+00
6.201240248049609605e+00,9.269464660480686291e+01,4.133890039040174713e+00
6.301260252050409960e+00,9.283445032576341305e+01,4.086659429584518222e+00
6.401280256051210316e+00,9.296893183617341094e+01,4.040079202980026096e+00
6.501300260052010671e+00,9.309837393525141636e+01,3.994135402741641361e+00
6.601320264052811027e+00,9.322304742720058357e+01,3.948814547002832409e+00
