time(days),prey(ind/m3),predator(ind/m3)
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+01
1.000200040008001612e-01,5.118412482194467827e+01,9.890071887098633496e+00
2.000400080016003224e-01,5.236022624096635525e+01,9.783661821533321756e+00
3.000600120024005113e-01,5.352661740236565180e+01,9.680664793832473691e+00
4.000800160032006447e-01,5.468167053708226177e+01,9.580976689787947365e+00
5.001000200040007782e-01,5.582383174722798458e+01,9.484494624426725196e+00
6.001200240048010226e-01,5.695160364629445127e+01,9.391116273223360622e+00
7.001400280056011560e-01,5.806357171302437337e+01,9.300740485818563386e+00
8.001600320064012895e-01,5.915842008548876407e+01,9.213267701893007811e+00
9.001800360072014229e-01,6.023493156108695956e+01,9.128599951167329252e+00
1.000200040008001556e+00,6.129198759654659057e+01,9.046640853402129423e+00
1.100220044008801690e+00,6.232856830792360370e+01,8.967295618397969292e+00
1.200240048009602045e+00,6.334375247060225433e+01,8.890471045995379740e+00
1.300260052010402179e+00,6.433671751929510663e+01,8.816075526074847346e+00
1.400280056011202312e+00,6.530673942395630149e+01,8.744019045210967178e+00
1.500300060012002445e+00,6.625320118077073062e+01,8.674213669691662076e+00
1.600320064012802579e+00,6.717561181306284368e+01,8.606573984621164186e+00
1.700340068013602712e+00,6.807357321664945005e+01,8.541016704241853219e+00
1.800360072014402846e+00,6.894677313963534004e+01,8.477460655429791103e+00
1.900380076015202979e+00,6.979498518241322813e+01,8.415826777694714877e+00
2.000400080016003113e+00,7.061806879766373868e+01,8.356038123180050903e+00
2.100420084016803468e+00,7.141596929035546282e+01,8.298019856662898874e+00
2.200440088017603379e+00,7.218871781774494423e+01,8.241699255554046033e+00
2.300460092018403735e+00,7.293643138937662229e+01,8.187005709897958283e+00
2.400480096019204090e+00,7.365930678327482894e+01,8.133870763032527762e+00
2.500500100020004002e+00,7.435757247605354792e+01,8.082228820925367430e+00
2.600520104020804357e+00,7.503152931002733794e+01,8.032016964538987835e+00
2.700540108021604269e+00,7.568152628763257894e+01,7.983174323925655180e+00
2.800560112022404624e+00,7.630795259754900428e+01,7.935642066291930696e+00
2.900580116023204535e+00,7.691123761469968656e+01,7.889363395998679529e+00
3.000600120024004891e+00,7.749185090025109446e+01,7.844283554561065408e+00
3.100620124024804802e+00,7.805030220161306431e+01,7.800349820648552424e+00
3.200640128025605158e+00,7.858714079407650388e+01,7.757511504953674475e+00
3.300660132026405513e+00,7.910292392281462526e+01,7.715720048915342133e+00
3.400680136027205425e+00,7.959822003783878586e+01,7.674929602051500765e+00
3.500700140028005780e+00,8.007361356101876027e+01,7.635096197367776227e+00
3.600720144028805692e+00,8.052969631677770224e+01,7.596177520683981221e+00
3.700740148029606047e+00,8.096706753209231522e+01,7.558132910634113522e+00
3.800760152030405958e+00,8.138633383649271025e+01,7.520923358666361302e+00
3.900780156031206314e+00,8.178810926206244858e+01,7.484511509043096922e+00
4.000800160032006225e+00,8.217301524343861274e+01,7.448861658840882249e+00
4.100820164032806581e+00,8.254166685177219165e+01,7.413939789767026056e+00
4.200840168033606936e+00,8.289465452484159869e+01,7.379713979146604430e+00
4.300860172034407292e+00,8.323256511388785839e+01,7.346153868218124217e+00
4.400880176035206759e+00,8.355597691608355149e+01,7.313230323545161227e+00
4.500900180036007114e+00,8.386545963802340964e+01,7.280915436571220312e+00
4.600920184036807470e+00,8.416157439572423016e+01,7.249182523619736251e+00
4.700940188037607825e+00,8.444487371462489023e+01,7.218006125894077307e+00
4.800960192038408181e+00,8.471590152958640374e+01,7.187362009477541669e+00
4.900980196039207648e+00,8.497518577389790551e+01,7.157227155541776575e+00
5.001000200040008004e+00,8.522322498738843422e+01,7.127580078869860891e+00
5.101020204040808359e+00,8.546050350327904255e+01,7.098400427266697399e+00
5.201040208041608714e+00,8.568749271485708618e+01,7.069668698366497139e+00
5.301060212042408182e+00,8.590465107150529889e+01,7.041366239482036882e+00
5.401080216043208537e+00,8.611242407870192039e+01,7.013475247604661789e+00
5.501100220044008893e+00,8.631124429802052589e+01,6.985978769404283639e+00
5.601120224044809248e+00,8.650153134713019654e+01,6.958860701229381718e+00
5.701140228045609604e+00,8.668368875333617041e+01,6.932105768073713925e+00
5.801160232046409071e+00,8.685809264787640416e+01,6.905699762894158766e+00
5.901180236047209426e+00,8.702510295239900984e+01,6.879629299836560463e+00
6.001200240048009782e+00,8.718506777290411947e+01,6.853881550997224181e+00
6.101220244048810137e+00,8.733832339856037663e+01,6.828444245420609349e+00
6.201240248049609605e+00,8.748519430170507860e+01,6.803305669099329656e+00
6.301260252050409960e+00,8.762599313784403421e+01,6.778454664974152166e+00
6.401280256051210316e+00,8.776102074565166333e+01,6.753880632933995543e+00
6.501300260052010671e+00,8.789056588588974250e+01,6.729573517448976361e+00
6.601320264052811027e+00,8.801489788634148681e+01,6.705523896870034584e+00
6.701340268053610494e+00,8.813426750207831617e+01,6.681723042738668461e+00
6.801360272054410849e+00,8.824891618583406228e+01,6.658162598636988783e+00
6.901380276055211205e+00,8.835907655066388600e+01,6.634834554104645399e+00
7.001400280056011560e+00,8.846497236994437685e+01,6.611731244638821003e+00
7.101420284056811028e+00,8.856681857737351038e+01,6.588845351694235575e+00
7.201440288057611383e+00,8.866482126697061972e+01,6.566169902683146375e+00
7.301460292058411738e+00,8.875917769307643823e+01,6.543698270975345288e+00
7.401480296059212094e+00,8.885007598062830425e+01,6.521424165252145855e+00
7.501500300060012449e+00,8.893768891024885193e+01,6.499341732277104988e+00
7.601520304060811917e+00,8.902217652131602676e+01,6.477445542883466523e+00
7.701540308061612272e+00,8.910369284839984516e+01,6.455730380132076007e+00
7.801560312062412628e+00,8.918238611203715038e+01,6.434191230617138046e+00
7.901580316063212983e+00,8.925839871873162679e+01,6.412823284466211859e+00
8.001600320064012450e+00,8.933186726095381403e+01,6.391621935340214833e+00
8.101620324064812806e+00,8.940292251714112126e+01,6.370582780433419856e+00
8.201640328065613161e+00,8.947168945169779875e+01,6.349701620473458874e+00
8.301660332066413517e+00,8.953828721300544657e+01,6.328974459254721019e+00
8.401680336067213872e+00,8.960282683770188328e+01,6.308397525099821657e+00
8.501700340068014228e+00,8.966540796930766533e+01,6.287967360836195674e+00
8.601720344068814583e+00,8.972612547134671956e+01,6.267680668423154522e+00
8.701740348069613162e+00,8.978507068217164999e+01,6.247534265365762174e+00
8.801760352070413518e+00,8.984233141496376618e+01,6.227525084714829795e+00
8.901780356071213873e+00,8.989799195773305485e+01,6.207650175066916631e+00
9.001800360072014229e+00,8.995213307331815145e+01,6.187906700564331786e+00
9.101820364072814584e+00,9.000483199938642542e+01,6.168291940895132441e+00
9.201840368073614940e+00,9.005616244843389495e+01,6.148803291293127415e+00
9.301860372074415295e+00,9.010619459014186816e+01,6.129438262628640111e+00
9.401880376075215651e+00,9.015499276738023582e+01,6.110194513514762171e+00
9.501900380076016006e+00,9.020261460078050675e+01,6.091069878397521897e+00
9.601920384076816362e+00,9.024911530861317033e+01,6.072062272697277052e+00
9.701940388077614941e+00,9.029454802624822207e+01,6.053169677824074668e+00
9.801960392078415296e+00,9.033896380615523469e+01,6.034390141177652822e+00
9.901980396079215652e+00,9.038241161790325862e+01,6.015721776147437971e+00
1.000200040008001601e+01,9.042493834816089304e+01,5.997162762112545842e+00
1.010202040408081636e+01,9.046658880069627173e+01,5.978711344441781428e+00
1.020204040808161672e+01,9.050740569637703459e+01,5.960365834493638992e+00
1.030206041208241707e+01,9.054742966226939416e+01,5.942124609679474645e+00
1.040208041608321743e+01,9.058669788058429617e+01,5.923986132066262122e+00
1.050210042008401778e+01,9.062524361585485622e+01,5.905948963286180131e+00
1.060212042408481636e+01,9.066309875073726232e+01,5.888011711307545859e+00
1.070214042808561672e+01,9.070029396316044767e+01,5.870173022381877992e+00
1.080216043208641707e+01,9.073685872632613325e+01,5.852431581043895825e+00
1.090218043608721743e+01,9.077282130870882781e+01,5.834786110111517488e+00
1.100220044008801779e+01,9.080820877405577107e+01,5.817235370685863494e+00
1.110222044408881814e+01,9.084304698138699052e+01,5.799778162151254080e+00
1.120224044808961850e+01,9.087736058499527303e+01,5.782413322175208314e+00
1.130226045209041885e+01,9.091117302778914677e+01,5.765139726747603888e+00
1.140228045609121921e+01,9.094450574886514005e+01,5.747956300739840430e+00
1.150230046009201779e+01,9.097737793162134778e+01,5.730862025969392981e+00
1.160232046409281814e+01,9.100980797417297197e+01,5.713855911491606321e+00
1.170234046809361850e+01,9.104181358651868550e+01,5.696936989209383739e+00
1.180236047209441885e+01,9.107341179054067482e+01,5.680104313873185262e+00
1.190238047609521921e+01,9.110461892000462569e+01,5.663356963081028539e+00
1.200240048009601956e+01,9.113545062055969481e+01,5.646694037278489731e+00
1.210242048409681992e+01,9.116592184973856661e+01,5.630114659758702622e+00
1.220244048809762027e+01,9.119604687695741063e+01,5.613617976662357734e+00
1.230246049209842063e+01,9.122583927947837878e+01,5.597203156999730034e+00
1.240248049609921921e+01,9.125531147936405318e+01,5.580869398541159043e+00
1.250250050010001956e+01,9.128447460757837462e+01,5.564615932298003997e+00
1.260252050410081992e+01,9.131333935178093952e+01,5.548442005949048905e+00
1.270254050810162028e+01,9.134191600946454059e+01,5.532346881392781413e+00
1.280256051210242063e+01,9.137021448795518097e+01,5.516329834747392802e+00
1.290258051610322099e+01,9.139824430441204584e+01,5.500390156350775328e+00
1.300260052010402134e+01,9.142601458582757346e+01,5.484527150760528436e+00
1.310262052410482170e+01,9.145353406902736992e+01,5.468740136753952541e+00
1.320264052810562205e+01,9.148081110067025179e+01,5.453028447328051698e+00
1.330266053210642063e+01,9.150785363480309798e+01,5.437391429710426216e+00
1.340268053610722099e+01,9.153466896194058222e+01,5.421828448586960114e+00
1.350270054010802134e+01,9.156126363438391991e+01,5.406338888689612432e+00
1.360272054410882170e+01,9.158764395491748189e+01,5.390922145507079932e+00
1.370274054810962205e+01,9.161381600594074825e+01,5.375577623873954103e+00
1.380276055211042241e+01,9.163978564946830829e+01,5.360304737970715827e+00
1.390278055611122277e+01,9.166555852712984631e+01,5.345102911323741601e+00
1.400280056011202312e+01,9.169114006017015583e+01,5.329971576805299982e+00
1.410282056411282348e+01,9.171653544944909697e+01,5.314910176633552474e+00
1.420284056811362206e+01,9.174174967544168169e+01,5.299918162372553532e+00
1.430286057211442241e+01,9.176678749675038205e+01,5.284994994936330848e+00
1.440288057611522277e+01,9.179165329045646615e+01,5.270140146318072816e+00
1.450290058011602312e+01,9.181635100991620391e+01,5.255353101165464835e+00
1.460292058411682348e+01,9.184088446800815575e+01,5.240633351516776450e+00
1.470294058811762383e+01,9.186525735323749586e+01,5.225980395949211932e+00
1.480296059211842419e+01,9.188947322973604059e+01,5.211393739578911166e+00
1.490298059611922454e+01,9.191353553726224845e+01,5.196872894060953207e+00
1.500300060012002490e+01,9.193744759120116328e+01,5.182417377589350060e+00
1.510302060412082348e+01,9.196121258256452791e+01,5.168026714897052898e+00
1.520304060812162383e+01,9.198483357799067051e+01,5.153700437255946731e+00
1.530306061212242419e+01,9.200831351882871445e+01,5.139438082476965874e+00
1.540308061612322454e+01,9.203165512567197482e+01,5.125239195806082115e+00
1.550310062012402490e+01,9.205486087348940316e+01,5.111103330948011170e+00
1.560312062412482526e+01,9.207793315785845323e+01,5.097030047025407740e+00
1.570314062812562561e+01,9.210087430401252107e+01,5.083018908033818839e+00
1.580316063212642597e+01,9.212368656684090240e+01,5.069069482841682017e+00
1.590318063612722632e+01,9.214637213088887790e+01,5.055181345190327136e+00
1.600320064012802490e+01,9.216893311035762792e+01,5.041354073693973703e+00
1.610322064412882526e+01,9.219137154910428933e+01,5.027587251839734428e+00
1.620324064812962561e+01,9.221368942064191287e+01,5.013880467987611667e+00
1.630326065213042597e+01,9.223588862756358253e+01,5.000233315368435960e+00
1.640328065613122632e+01,9.225797094305232804e+01,4.986645392522400577e+00
1.650330066013202668e+01,9.227993799535214237e+01,4.973116304013591282e+00
1.660332066413282703e+01,9.230179136745698543e+01,4.959645658620033259e+00
1.670334066813362739e+01,9.232353260233273318e+01,4.946233068961082502e+00
1.680336067213442774e+01,9.234516320291719182e+01,4.932878151497416930e+00
1.690338067613522810e+01,9.236668463212008362e+01,4.919580526531044384e+00
1.700340068013602846e+01,9.238809831282306106e+01,4.906339818205298187e+00
1.710342068413682881e+01,9.240940562787967849e+01,4.893155654504836249e+00
1.720344068813762917e+01,9.243060792011542048e+01,4.880027667255645518e+00
1.730346069213842952e+01,9.245170649195360113e+01,4.866955492121880056e+00
1.740348069613922632e+01,9.247270256827249568e+01,4.853938768797140924e+00
1.750350070014002668e+01,9.249359728598929564e+01,4.840977141538395756e+00
1.760352070414082704e+01,9.251439175584481234e+01,4.828070258042074236e+00
1.770354070814162739e+01,9.253508706554313790e+01,4.815217769172065232e+00
1.780356071214242775e+01,9.255568427975174473e+01,4.802419328959723011e+00
1.790358071614322810e+01,9.257618444010140024e+01,4.789674594603863689e+00
1.800360072014402846e+01,9.259658856518619530e+01,4.776983226470767008e+00
1.810362072414482881e+01,9.261689765056354418e+01,4.764344888094174557e+00
1.820364072814562917e+01,9.263711266875421302e+01,4.751759246175292439e+00
1.830366073214642952e+01,9.265723456898835764e+01,4.739225970579164837e+00
1.840368073614722988e+01,9.267726425246489441e+01,4.726744734395230907e+00
1.850370074014803023e+01,9.269720256481112131e+01,4.714315214359717565e+00
1.860372074414883059e+01,9.271705033615340596e+01,4.701937090118892826e+00
1.870374074814963095e+01,9.273680838311338448e+01,4.689610044018754031e+00
1.880376075215043130e+01,9.275647750880800402e+01,4.677333761105029630e+00
1.890378075615123166e+01,9.277605850284946598e+01,4.665107929123180952e+00
1.900380076015203201e+01,9.279555214134525443e+01,4.652932238518399544e+00
1.910382076415283237e+01,9.281495918689817870e+01,4.640806382435610722e+00
1.920384076815363272e+01,9.283428038860627396e+01,4.628730056719467356e+00
1.930386077215442953e+01,9.285351648188101592e+01,4.616702959910632842e+00
1.940388077615522988e+01,9.287266817100038452e+01,4.604724793239550529e+00
1.950390078015603024e+01,9.289173612325502916e+01,4.592795260975285565e+00
1.960392078415683059e+01,9.291072099643940874e+01,4.580914069911728781e+00
1.970394078815763095e+01,9.292962344020970988e+01,4.569080929197451013e+00
1.980396079215843130e+01,9.294844409608377589e+01,4.557295550335705769e+00
1.990398079615923166e+01,9.296718359744114935e+01,4.545557647184423899e+00
2.000400080016003201e+01,9.298584256952305793e+01,4.533866935956218924e+00
2.010402080416083237e+01,9.300442162943241442e+01,4.522223135218384371e+00
2.020404080816163273e+01,9.302292138613383088e+01,4.510625965892892886e+00
2.030406081216243308e+01,9.304134244031544654e+01,4.499075151252764471e+00
2.040408081616323344e+01,9.305968537131874996e+01,4.487570416883766455e+00
2.050410082016403379e+01,9.307795073233386063e+01,4.476111490981224073e+00
2.060412082416483415e+01,9.309613907046406212e+01,4.464698103968621545e+00
2.070414082816563450e+01,9.311425092771770551e+01,4.453329988355341662e+00
2.080416083216643486e+01,9.313228684100813837e+01,4.442006878736664000e+00
2.090418083616723521e+01,9.315024734215371893e+01,4.430728511793768476e+00
2.100420084016803557e+01,9.316813295787783034e+01,4.419494626293733575e+00
2.110422084416883237e+01,9.318594420980886639e+01,4.408304963089535455e+00
2.120424084816963273e+01,9.320368161448024580e+01,4.397159265120048843e+00
2.130426085217043308e+01,9.322134568321942538e+01,4.386057277406597343e+00
2.140428085617123344e+01,9.323893691178447796e+01,4.374998747001109578e+00
2.150430086017203379e+01,9.325645577626104910e+01,4.363983423243712245e+00
2.160432086417283415e+01,9.327390274861420494e+01,4.353011057463345601e+00
2.170434086817363450e+01,9.329127829746173006e+01,4.342081402856094563e+00
2.180436087217443486e+01,9.330858288807405643e+01,4.331194214485191374e+00
2.190438087617523522e+01,9.332581698237434864e+01,4.320349249281012050e+00
2.200440088017603557e+01,9.334298103893841869e+01,4.309546266041082596e+00
2.210442088417683593e+01,9.336007551299482543e+01,4.298785025430070128e+00
2.220444088817763628e+01,9.337710085642478930e+01,4.288065289979791750e+00
2.230446089217843664e+01,9.339405751766867070e+01,4.277386824085986916e+00
2.240448089617923699e+01,9.341094593310758398e+01,4.266749393952581570e+00
2.250450090018003735e+01,9.342776652346715593e+01,4.256152767818154103e+00
2.260452090418083770e+01,9.344451970651381600e+01,4.245596715710144409e+00
2.270454090818163806e+01,9.346120589769029152e+01,4.235081009339205060e+00
2.280456091218243841e+01,9.347782551011559349e+01,4.224605422099201313e+00
2.290458091618323522e+01,9.349437895458510184e+01,4.214169729067211989e+00
2.300460092018403557e+01,9.351086663957048017e+01,4.203773707003527704e+00
2.310462092418483593e+01,9.352728897121967577e+01,4.193417134351655307e+00
2.320464092818563628e+01,9.354364635335699063e+01,4.183099791238312548e+00
2.330466093218643664e+01,9.355993918740109905e+01,4.172821459470447358e+00
2.340468093618723699e+01,9.357616786493173322e+01,4.162581922480445229e+00
2.350470094018803735e+01,9.359233276448559025e+01,4.152380965526931256e+00
2.360472094418883771e+01,9.360843426235003051e+01,4.142218375486172555e+00
2.370474094818963806e+01,9.362447273310580442e+01,4.132093940759404838e+00
2.380476095219043842e+01,9.364044854962710929e+01,4.122007451272828860e+00
2.390478095619123877e+01,9.365636208308148980e+01,4.111958698477617524e+00
2.400480096019203913e+01,9.367221370292993754e+01,4.101947475349908778e+00
2.410482096419283948e+01,9.368800377692681991e+01,4.091973576390810052e+00
2.420484096819363984e+01,9.370373267111992277e+01,4.082036797626395597e+00
2.430486097219444019e+01,9.371940074977672452e+01,4.072136936604960233e+00
2.440488097619524055e+01,9.373500836880387510e+01,4.062273792345421519e+00
2.450490098019604090e+01,9.375055587286369985e+01,4.052447165516406713e+00
2.460492098419684126e+01,9.376604360482305367e+01,4.042656858255070595e+00
2.470494098819763806e+01,9.378147190622905782e+01,4.032902674085240946e+00
2.480496099219843842e+01,9.379684111730915674e+01,4.023184417917414102e+00
2.490498099619923877e+01,9.381215157697106122e+01,4.013501896048759399e+00
2.500500100020003913e+01,9.382740362280276258e+01,4.003854916163113842e+00
2.510502100420083949e+01,9.384259759107257537e+01,3.994243287330986547e+00
2.520504100820163984e+01,9.385773381672905202e+01,3.984666820009556076e+00
2.530506101220244020e+01,9.387281263333343873e+01,3.975125326040145346e+00
2.540508101620324055e+01,9.388783436712958519e+01,3.965618618600716960e+00
2.550510102020404091e+01,9.390279933443250115e+01,3.956146512366249368e+00
2.560512102420484126e+01,9.391770785006802669e+01,3.946708823348900275e+00
2.570514102820564162e+01,9.393256022779694092e+01,3.937305368825339880e+00
2.580516103220644197e+01,9.394735678031501891e+01,3.927935967336748657e+00
2.590518103620724233e+01,9.396209781925297477e+01,3.918600438688818244e+00
2.600520104020804268e+01,9.397678365517650434e+01,3.909298603951752327e+00
2.610522104420884304e+01,9.399141459758622830e+01,3.900030285460265311e+00
2.620524104820964340e+01,9.400599095491777746e+01,3.890795306813581877e+00
2.630526105221044375e+01,9.402051303447890973e+01,3.881593492873116169e+00
2.640528105621124411e+01,9.403498113704158357e+01,3.872424669719261470e+00
2.650530106021204446e+01,9.404939555446760835e+01,3.863288664795459848e+00
2.660532106421284126e+01,9.406375657734858464e+01,3.854185306765717023e+00
2.670534106821364162e+01,9.407806449538814775e+01,3.845114425449850160e+00
2.680536107221444198e+01,9.409231959740203877e+01,3.836075851823489202e+00
2.690538107621524233e+01,9.410652217131801933e+01,3.827069418018076430e+00
2.700540108021604269e+01,9.412067250417592845e+01,3.818094957320866456e+00
2.710542108421684304e+01,9.413477088212768251e+01,3.809152304174925785e+00
2.720544108821764340e+01,9.414881759043721843e+01,3.800241294179133700e+00
2.730546109221844375e+01,9.416281291342176019e+01,3.791361764086047526e+00
2.740548109621924411e+01,9.417675712948066291e+01,3.782513551762836990e+00
2.750550110022004446e+01,9.419065050893077284e+01,3.773696496321051086e+00
2.760552110422084482e+01,9.420449332098421280e+01,3.764910437988687075e+00
2.770554110822164517e+01,9.421828583409531177e+01,3.756155218052326106e+00
2.780556111222244553e+01,9.423202831596066176e+01,3.747430678857134545e+00
2.790558111622324589e+01,9.424572103351906094e+01,3.738736663806862648e+00
2.800560112022404624e+01,9.425936425295151366e+01,3.730073017363847221e+00
2.810562112422484660e+01,9.427295823968127308e+01,3.721439585049007626e+00
2.820564112822564695e+01,9.428650325837379853e+01,3.712836213441848887e+00
2.830566113222644731e+01,9.429999957288140422e+01,3.704262750178497932e+00
2.840568113622724411e+01,9.431344744164914573e+01,3.695719043916489532e+00
